Designator,Mid X,Mid Y,Rotation,Layer
C1,189.01,-81.19,270.0,top
C12,189.06,-86.4,270.0,top
C13,203.01,-92.77,0.0,top
C14,206.96,-78.65,270.0,top
C15,217.96,-81.25,270.0,top
C16,202.49,-97.44,180.0,top
C17,204.85,-65.56,0.0,top
C18,190.21,-66.68,270.0,top
C19,156.3,-91.25,180.0,top
C2,76.365,-68.925,180.0,top
C20,152.42,-78.05,180.0,top
C21,125.89,-67.95,90.0,top
C22,130.09,-69.15,0.0,top
C23,134.99,-74.55,90.0,top
C24,134.99,-79.65,270.0,top
C25,134.99,-84.65,270.0,top
C26,134.99,-89.75,270.0,top
C27,121.49,-88.45,0.0,top
C28,121.49,-91.05,0.0,top
C3,78.89,-73.675,270.0,top
C33,168.2,-82.35,270.0,top
C34,156.77,-72.1,0.0,top
C36,161.87,-72.1,0.0,top
C39,240.395,-69.09,270.0,top
C4,48.78,-86.635,180.0,top
C40,252.345,-69.639325,270.0,top
C42,251.325,-73.489325,0.0,top
C48,233.225,-68.94,90.0,top
C49,242.125,-87.989325,90.0,top
C5,48.79,-89.235,180.0,top
C51,258.175,-78.499325,0.0,top
C6,63.3,-90.785,270.0,top
C7,63.26,-85.845,90.0,top
COMPRESSION,246.31,-100.714325,270.0,top
D1,201.71,-76.09,270.0,top
D2,96.355,-72.785,270.0,top
D3,204.36,-76.09,90.0,top
D4,209.56,-76.09,270.0,top
D5,212.21,-76.08,90.0,top
D6,208.68,-68.61,0.0,top
D7,118.19,-69.95,180.0,top
D8,179.97,-67.85,0.0,top
D9,243.795,-63.489325,90.0,top
DEPTH1,63.14,-96.845,90.0,top
GAIN,237.185,-100.714325,270.0,top
GAIN1,215.95,-100.83,270.0,top
J1,45.0,-84.955,180.0,top
J10,185.55,-93.87,0.0,top
J11,75.1975,-62.275,270.0,top
J2,74.4,-75.345,180.0,top
J3,158.09,-96.95,90.0,top
J4,110.69,-74.05,0.0,top
J5,225.325,-82.889325,180.0,top
J6,262.325,-77.489325,180.0,top
J7,105.055,-80.715,180.0,top
J8,80.075,-80.455,180.0,top
J9,219.02,-91.31,180.0,top
NOISE GATE,228.105,-100.714325,270.0,top
PC10,68.35,-80.895,0.0,top
PC11,73.66,-81.095,180.0,top
PC2,102.455,-85.305,270.0,top
PC29,110.54,-84.45,0.0,top
PC3,47.87,-81.715,180.0,top
PC30,110.517401,-89.45,0.0,top
PC31,172.35,-97.25,180.0,top
PC32,167.75,-97.05,0.0,top
PC35,166.72,-70.25,0.0,top
PC37,171.42,-70.25,0.0,top
PC38,175.32,-74.45,0.0,top
PC41,248.595,-69.139325,270.0,top
PC43,239.945,-81.84,0.0,top
PC44,235.245,-81.84,0.0,top
PC45,234.067599,-61.14,180.0,top
PC46,229.445,-61.14,0.0,top
PC47,238.645,-61.14,180.0,top
PC50,248.5976,-85.989325,180.0,top
PC8,68.427401,-87.635,0.0,top
PC9,63.437401,-80.845,0.0,top
Q1,110.69,-78.95,90.0,top
Q2,249.425,-78.719325,90.0,top
R1,102.155,-77.565,270.0,top
R10,202.16,-86.16,90.0,top
R11,192.16,-88.96,270.0,top
R12,198.86,-88.96,90.0,top
R13,210.84,-82.54,0.0,top
R14,215.06,-76.08,90.0,top
R15,196.81,-68.59,0.0,top
R16,196.84,-65.39,180.0,top
R17,155.1,-84.96,90.0,top
R18,153.8,-94.15,0.0,top
R19,151.7,-87.35,90.0,top
R2,83.955,-72.955,90.0,top
R20,157.99,-75.15,0.0,top
R21,151.2,-71.75,90.0,top
R22,132.69,-66.05,180.0,top
R23,147.77,-79.26,90.0,top
R24,141.19,-72.25,0.0,top
R25,141.19,-75.35,0.0,top
R26,137.39,-69.15,180.0,top
R27,141.19,-78.45,180.0,top
R28,141.19,-81.55,180.0,top
R29,141.19,-84.65,180.0,top
R3,87.465,-89.755,180.0,top
R30,118.19,-72.85,180.0,top
R31,118.19,-76.05,0.0,top
R32,118.18,-82.25,0.0,top
R33,118.19,-85.45,180.0,top
R34,170.3,-89.85,270.0,top
R35,163.7,-95.85,90.0,top
R36,163.7,-89.25,180.0,top
R37,167.88,-75.15,180.0,top
R38,171.77,-78.35,180.0,top
R39,179.27,-74.95,90.0,top
R4,80.555,-88.355,270.0,top
R40,175.57,-85.65,90.0,top
R41,237.825,-96.914325,180.0,top
R42,243.995,-78.03,270.0,top
R43,229.895,-68.44,90.0,top
R44,226.545,-68.44,270.0,top
R45,255.225,-96.914325,0.0,top
R46,237.625,-88.789325,270.0,top
R47,245.525,-92.189325,0.0,top
R48,253.775,-84.699325,90.0,top
R49,261.875,-84.699325,90.0,top
R5,56.48,-93.005,180.0,top
R50,257.875,-84.699325,90.0,top
R6,66.1,-76.975,0.0,top
R7,66.09,-73.915,180.0,top
R8,66.1,-70.825,0.0,top
R9,185.96,-86.15,90.0,top
RATE1,52.84,-96.845,90.0,top
ROTATE,255.465,-100.719325,270.0,top
RV1,95.495,-94.955,90.0,top
RV2,86.495,-94.945,90.0,top
RV3,128.89,-98.85,270.0,top
RV4,149.85,-98.85,270.0,top
SW1,144.94,-65.75,90.0,top
SW2,85.675,-80.92,90.0,top
SW3,112.775,-94.375,270.0,top
TOGGLE1,218.54,-74.52,0.0,top
TONE1,203.675,-100.83,270.0,top
U1,195.465,-78.65,0.0,top
U2,95.165,-82.585,180.0,top
U3,47.2,-73.885,90.0,top
U4,56.095,-80.275,0.0,top
U5,128.78,-82.14,0.0,top
U6,161.89,-82.26,0.0,top
U7,158.11,-67.2,180.0,top
U8,255.795,-70.93,270.0,top
U9,237.055,-75.39,270.0,top
VOLUME1,191.79,-100.83,270.0,top
